nome,nome,votos
SERGIO CABRAL BARBOSA,SERGIO CABRAL BARBOSA,1045
SONIA MARIA TEIXEIRA SOARES,SONIA MARIA TEIXEIRA SOARES,43
TACIANA CORREIA SILVA,TACIANA CORREIA SILVA,186
MARIA LIGIA MININ DE LINS,MARIA LIGIA MININ DE LINS,662
ANTONIO NELSON OLIVEIRA DE AZEVEDO,ANTONIO NELSON OLIVEIRA DE AZEVEDO,5836
JOSÉ REGIS BARROS CAVALCANTE,JOSÉ REGIS BARROS CAVALCANTE,13986
LUCAS COSTA MOREIRA CESAR BARBOSA,LUCAS COSTA MOREIRA CESAR BARBOSA,4394
MAURÍCIO QUINTELLA MALTA LESSA,MAURÍCIO QUINTELLA MALTA LESSA,76706
NIVALDO FERREIRA DE ALBUQUERQUE NETO,NIVALDO FERREIRA DE ALBUQUERQUE NETO,66910
EDSON MAIA NOBRE DE ABREU,EDSON MAIA NOBRE DE ABREU,1901
FLAVIO HENRIQUE CATÃO NOGUEIRA,FLAVIO HENRIQUE CATÃO NOGUEIRA,709
JOSÉ FRANCISCO DE LIMA,JOSÉ FRANCISCO DE LIMA,2273
MARCOS ANTÔNIO VIEIRA DA SILVA,MARCOS ANTÔNIO VIEIRA DA SILVA,1519
ARTHUR CESAR PEREIRA DE LIRA,ARTHUR CESAR PEREIRA DE LIRA,98230
JOSE JULIO DE ALMEIDA FILHO,JOSE JULIO DE ALMEIDA FILHO,8595
MARIA FATIMA GALINA FORTES FERREIRA SANTIAGO,MARIA FATIMA GALINA FORTES FERREIRA SANTIAGO,15383
WELLINGTON RODRIGUES FRAGOSO,WELLINGTON RODRIGUES FRAGOSO,3517
JOÃO HENRIQUE HOLANDA CALDAS,JOÃO HENRIQUE HOLANDA CALDAS,135928
AUDINEIDE SILVA CAVALCANTE,AUDINEIDE SILVA CAVALCANTE,37
CRISTIANE MARQUES SAMPAIO,CRISTIANE MARQUES SAMPAIO,173
ROSEANE CAVALCANTE DE FREITAS,ROSEANE CAVALCANTE DE FREITAS,27116
JOSÉ JERÔNIMO DE FARIAS NETO,JOSÉ JERÔNIMO DE FARIAS NETO,758
RONALDO AUGUSTO LESSA SANTOS,RONALDO AUGUSTO LESSA SANTOS,88124
CARLOS ALBERTO DA SILVA,CARLOS ALBERTO DA SILVA,271
MARIA APARECIDA GERMANO DOS SANTOS,MARIA APARECIDA GERMANO DOS SANTOS,679
ROSIETE GOIS RAMOS,ROSIETE GOIS RAMOS,857
FERNANDO ANTÔNIO MACEDO HOLANDA,FERNANDO ANTÔNIO MACEDO HOLANDA,14553
PAULO FERNANDO DOS SANTOS,PAULO FERNANDO DOS SANTOS,53284
JOÃO JOSÉ PEREIRA DE LYRA,JOÃO JOSÉ PEREIRA DE LYRA,102
ROBERTO CARLOS TEIXEIRA GOMES,ROBERTO CARLOS TEIXEIRA GOMES,1685
ANTONIO CARLOS RAMOS,ANTONIO CARLOS RAMOS,5027
IVON BERTO TIBURCIO DE LIMA,IVON BERTO TIBURCIO DE LIMA,6365
GIVALDO DE SÁ GOUVEIA CARIMBÃO,GIVALDO DE SÁ GOUVEIA CARIMBÃO,82582
JAMISON RODRIGUES DA SILVA,JAMISON RODRIGUES DA SILVA,1576
ALEXANDRE MURTA DE ARAÚJO ROCHA,ALEXANDRE MURTA DE ARAÚJO ROCHA,3782
CARLOS EUGÊNIO LESSA DE AZEVEDO SAMPAIO,CARLOS EUGÊNIO LESSA DE AZEVEDO SAMPAIO,10307
FRANCISCO DE SOUZA IRMÃO,FRANCISCO DE SOUZA IRMÃO,4798
HEMERSON CASADO GAMA,HEMERSON CASADO GAMA,15101
MARIA DE FÁTIMA DOS SANTOS,MARIA DE FÁTIMA DOS SANTOS,281
MARX BELTRÃO LIMA SIQUEIRA,MARX BELTRÃO LIMA SIQUEIRA,123317
PEDRO RODRIGUES GAIA NETO,PEDRO RODRIGUES GAIA NETO,3864
VENANCIO DOS ANJOS TELES,VENANCIO DOS ANJOS TELES,3354
JORGE VI LAMENHA LINS,JORGE VI LAMENHA LINS,8515
VANILDO RUFINO DOS SANTOS,VANILDO RUFINO DOS SANTOS,4169
ROGERIO AUTO TEOFILO,ROGERIO AUTO TEOFILO,47096
PEDRO TORRES BRANDÃO VILELA,PEDRO TORRES BRANDÃO VILELA,119581
MARCOS ANTONIO FERREIRA NUNES,MARCOS ANTONIO FERREIRA NUNES,5280
CLIUTON SANTOS,CLIUTON SANTOS,425
ZEDEQUIAS ALVES RIBEIRO,ZEDEQUIAS ALVES RIBEIRO,1767
MARIA DO ROSÁRIO BARBOZA DA SILVA,MARIA DO ROSÁRIO BARBOZA DA SILVA,205
GESIEL ANTÔNIO DE OLIVEIRA,GESIEL ANTÔNIO DE OLIVEIRA,2776
JAILTON SANTOS COSTA,JAILTON SANTOS COSTA,3227
MEIRE ROSE NUNES ALVES,MEIRE ROSE NUNES ALVES,80
ADERVAL ROCHA TENÓRIO,ADERVAL ROCHA TENÓRIO,19392
JULIO CESAR MARTINS DE CERQUEIRA,JULIO CESAR MARTINS DE CERQUEIRA,2189
CLAUDIANE PINHEIRO ARAÚJO,CLAUDIANE PINHEIRO ARAÚJO,1813
WODISON LOPES SILVA,WODISON LOPES SILVA,31
ALBERTO SAMUEL ALCOLUMBRE TOBELEM,ALBERTO SAMUEL ALCOLUMBRE TOBELEM,3843
LUIZ CARLOS GOMES DOS SANTOS JUNIOR,LUIZ CARLOS GOMES DOS SANTOS JUNIOR,9666
JOSE ANDRE DA SILVA BALIEIRO,JOSE ANDRE DA SILVA BALIEIRO,210
SEBASTIÃO FERREIRA DA ROCHA,SEBASTIÃO FERREIRA DA ROCHA,7299
DALCILENE ANDRADE DE SOUSA,DALCILENE ANDRADE DE SOUSA,241
WELLINGTON DE SOUZA GOES,WELLINGTON DE SOUZA GOES,738
CLESIO CASTRO DO CARMO,CLESIO CASTRO DO CARMO,1378
VALCINETE FARIAS SANTANA,VALCINETE FARIAS SANTANA,1748
WALTER MONTEIRO BENATHAR,WALTER MONTEIRO BENATHAR,1652
LUCAS ABRAHAO ROSA CEZARIO DE ALMEIDA,LUCAS ABRAHAO ROSA CEZARIO DE ALMEIDA,7278
LEONETI DOS SANTOS COSTA,LEONETI DOS SANTOS COSTA,2018
RAIMUNDO LAESTE SENA LIMA,RAIMUNDO LAESTE SENA LIMA,145
MIRAELSON COUTINHO TEIXEIRA ALVES,MIRAELSON COUTINHO TEIXEIRA ALVES,1824
CONCEIÇÃO CORREA MEDEIROS,CONCEIÇÃO CORREA MEDEIROS,7443
GUARABICHABA MARTINS FERREIRA,GUARABICHABA MARTINS FERREIRA,262
EDUARDO BRASIL DANTAS,EDUARDO BRASIL DANTAS,296
ANTÔNIO ROBERTO RODRIGUES GÓES DA SILVA,ANTÔNIO ROBERTO RODRIGUES GÓES DA SILVA,22133
ALDICLEIA LIRA GÓES,ALDICLEIA LIRA GÓES,30
JOSÉ LUIZ DA SILVA FERREIRA,JOSÉ LUIZ DA SILVA FERREIRA,992
MARIZETE GÓES DE MAGALHÃES,MARIZETE GÓES DE MAGALHÃES,1324
VANDA CHERFEN DE SOUZA,VANDA CHERFEN DE SOUZA,220
IRACELIA BARBOSA RODRIGUES,IRACELIA BARBOSA RODRIGUES,166
ALISON DIEGO DOS SANTOS PINHEIRO,ALISON DIEGO DOS SANTOS PINHEIRO,5947
AMARILDO PORTO ARAÚJO,AMARILDO PORTO ARAÚJO,361
EURICELIA MELO CARDOSO,EURICELIA MELO CARDOSO,5714
FÁTIMA LÚCIA PELAES,FÁTIMA LÚCIA PELAES,17542
HILTON JOSE DA SILVA ALENCAR,HILTON JOSE DA SILVA ALENCAR,143
JACI ALMEIDA SIQUEIRA,JACI ALMEIDA SIQUEIRA,370
