nome,nome,votos
VICTÓRIO GALLI FILHO,VICTÓRIO GALLI FILHO,64690
FRANCISCO WASHINGTON BARBOSA,FRANCISCO WASHINGTON BARBOSA,13296
MARCIA MARIA PEREIRA,MARCIA MARIA PEREIRA,556
ROSALVO OTACÍLIO DA COSTA,ROSALVO OTACÍLIO DA COSTA,288
MAURO CÉSAR LARA DE BARROS,MAURO CÉSAR LARA DE BARROS,84208
SUADNA MACEDO DE SOUZA,SUADNA MACEDO DE SOUZA,317
RARIKAN HEVEN DA SILVA DUTRA,RARIKAN HEVEN DA SILVA DUTRA,1554
SILVIO MOISES NEGRI,SILVIO MOISES NEGRI,1412
LINDOMAR SOARES PAULINO,LINDOMAR SOARES PAULINO,1661
ANGELA KEMZIA SANTIN,ANGELA KEMZIA SANTIN,262
JUAREZ PEREIRA VIDAL,JUAREZ PEREIRA VIDAL,2855
JAIR DEL SANTO,JAIR DEL SANTO,412
UBIRACY NOGUEIRA FELIX,UBIRACY NOGUEIRA FELIX,1503
ARNALDO PAULA DA SILVA,ARNALDO PAULA DA SILVA,274
AFONSO RODRIGUES DE MELO,AFONSO RODRIGUES DE MELO,418
ANTONIO LUCIO DE OLIVEIRA NETO,ANTONIO LUCIO DE OLIVEIRA NETO,811
NEUSA ANAIA DE SOUZA GOMES,NEUSA ANAIA DE SOUZA GOMES,287
JUAREZ LEANDRO DA SILVA,JUAREZ LEANDRO DA SILVA,939
FELIX MANOEL SOUZA PINTO ALVARES,FELIX MANOEL SOUZA PINTO ALVARES,8505
FRANCISCO TARQUINIO DALTRO,FRANCISCO TARQUINIO DALTRO,47339
ERASMO CARLOS DA COSTA,ERASMO CARLOS DA COSTA,2545
JAMILSON ADRIANO DE SOUZA MOURA,JAMILSON ADRIANO DE SOUZA MOURA,3907
MARCELO DE MELO COSTA,MARCELO DE MELO COSTA,43
BEATRIZ DE FATIMA SUECK LEMES,BEATRIZ DE FATIMA SUECK LEMES,0
ELIENE JOSÉ DE LIMA,ELIENE JOSÉ DE LIMA,43090
ISMAILI DE OLIVEIRA DONASSAN,ISMAILI DE OLIVEIRA DONASSAN,15519
RADAMES ALVES,RADAMES ALVES,8621
RAFAEL PEREIRA LOPES,RAFAEL PEREIRA LOPES,6471
FABIO BARBOSA SENA,FABIO BARBOSA SENA,4674
NELCI CAPITANI,NELCI CAPITANI,0
REGINA PIZOLLI DA SILVA,REGINA PIZOLLI DA SILVA,141
ROBINSON CIREIA DE OLIVEIRA,ROBINSON CIREIA DE OLIVEIRA,2383
SÁGUAS MORAES SOUSA,SÁGUAS MORAES SOUSA,97858
JUSCIMARIA RIBEIRO DA CRUZ,JUSCIMARIA RIBEIRO DA CRUZ,18960
HERMINIO BARRETO,HERMINIO BARRETO,49321
MARA FRANCISCA DE OLIVEIRA LIMA,MARA FRANCISCA DE OLIVEIRA LIMA,254
MURILO DOMINGOS,MURILO DOMINGOS,14363
SALVADOR GARCIA GONÇALVES,SALVADOR GARCIA GONÇALVES,244
CARLOS GOMES BEZERRA,CARLOS GOMES BEZERRA,95739
DIRCEU ANTONIO ZANATTA,DIRCEU ANTONIO ZANATTA,5746
ADRIANA GOMES CASTANHO,ADRIANA GOMES CASTANHO,304
ANTONIO ROSA RODRIGUES,ANTONIO ROSA RODRIGUES,2896
DENILSON ROBERTO SODRE DE OLIVEIRA,DENILSON ROBERTO SODRE DE OLIVEIRA,3709
EUZIMAR SANTOS BATISTA,EUZIMAR SANTOS BATISTA,40
HILTON GUSMÃO ALVES,HILTON GUSMÃO ALVES,3531
ROGÉRIO SILVA SANTOS,ROGÉRIO SILVA SANTOS,16116
SANDRO LUIS COSTA SAGGIN,SANDRO LUIS COSTA SAGGIN,15037
VALTENIR LUIZ PEREIRA,VALTENIR LUIZ PEREIRA,62923
MAURO SERGIO GARCIA,MAURO SERGIO GARCIA,14434
DRAZIO SANTOS NASCIMENTO,DRAZIO SANTOS NASCIMENTO,75
MARIA EUGENIA BRAGA,MARIA EUGENIA BRAGA,2911
JULIANO DE SOUZA RABELO,JULIANO DE SOUZA RABELO,12218
PEDRO INACIO DE OLIVEIRA,PEDRO INACIO DE OLIVEIRA,0
FABIO PAULINO GARCIA,FABIO PAULINO GARCIA,104976
TULIO AURELIO CAMPOS FONTES,TULIO AURELIO CAMPOS FONTES,24101
JOSEFINA ALMEIDA,JOSEFINA ALMEIDA,380
ELIANE DA SILVA LELIS,ELIANE DA SILVA LELIS,0
GERUZA TEIXEIRA CAMARGO,GERUZA TEIXEIRA CAMARGO,0
EZEQUIEL ANGELO FONSECA,EZEQUIEL ANGELO FONSECA,90887
ELIZANDRA ETTORE DE QUEIROZ,ELIZANDRA ETTORE DE QUEIROZ,78
BENEDITO FRANCISCO CURVO,BENEDITO FRANCISCO CURVO,12913
NUDY MILLA FERREIRA SANTOS,NUDY MILLA FERREIRA SANTOS,68
VANDERLEY DA GUIA,VANDERLEY DA GUIA,1425
WANESA NUNES PINTO DA LUZ,WANESA NUNES PINTO DA LUZ,80
MANOEL COSTA PARRIÃO,MANOEL COSTA PARRIÃO,593
ADILTON DOMINGOS SACHETTI,ADILTON DOMINGOS SACHETTI,112721
SALMO CESAR DA SILVA,SALMO CESAR DA SILVA,4201
EDERLON FERRA CORREIA,EDERLON FERRA CORREIA,1083
JENNIFER GUIMARÃES OLERIANO,JENNIFER GUIMARÃES OLERIANO,128
MARCIO CAMPOS MONTEIRO,MARCIO CAMPOS MONTEIRO,56441
JORGE APARECIDO QUEIRÓZ,JORGE APARECIDO QUEIRÓZ,4059
CRISTINA RODRIGUES DE MORAES,CRISTINA RODRIGUES DE MORAES,450
ADEMAR VIEIRA JUNIOR,ADEMAR VIEIRA JUNIOR,15737
MARCELO PEREIRA MOURÃO,MARCELO PEREIRA MOURÃO,12835
ANTÔNIO CEZAR SANTOS SABATEL,ANTÔNIO CEZAR SANTOS SABATEL,8817
MARCIA BRAMBILLA,MARCIA BRAMBILLA,92
ROBERTO ROJO RODRIGUES,ROBERTO ROJO RODRIGUES,1845
DANIELE DA SILVA SANTOS,DANIELE DA SILVA SANTOS,12018
GERALDO SALES,GERALDO SALES,4971
ROSANA DE FÁTIMA MOREIRA,ROSANA DE FÁTIMA MOREIRA,2648
DANIEL VALDEZ GODOY,DANIEL VALDEZ GODOY,2195
ALDO EURIPEDES DONIZETE,ALDO EURIPEDES DONIZETE,2276
LUIZ HENRIQUE MANDETTA,LUIZ HENRIQUE MANDETTA,57374
WALTER RIBEIRO HORA,WALTER RIBEIRO HORA,2886
VALDECI CORREIA DA SILVA,VALDECI CORREIA DA SILVA,309
MARIA DE LOURDES ALENCAR LIMA,MARIA DE LOURDES ALENCAR LIMA,711
AILTON STROPA GARCIA,AILTON STROPA GARCIA,7195
ÂNGELA MARIA COSTA,ÂNGELA MARIA COSTA,2598
VALDIR PIRES CARDOSO,VALDIR PIRES CARDOSO,779
FREDSON FREITAS DA COSTA,FREDSON FREITAS DA COSTA,6168
SILVANA DIAS DE SOUZA DE ALBUQUERQUE,SILVANA DIAS DE SOUZA DE ALBUQUERQUE,1369
BRUNO ALBERTO GONZALES DE REICHARDT,BRUNO ALBERTO GONZALES DE REICHARDT,3388
CARLA CHARBEL STEPHANINI,CARLA CHARBEL STEPHANINI,15505
FÁBIO RICARDO TRAD,FÁBIO RICARDO TRAD,67507
GEAN CARLOS VOLPATO,GEAN CARLOS VOLPATO,4421
GERALDO RESENDE PEREIRA,GERALDO RESENDE PEREIRA,87545
LUCILENE KERCHES DE MENEZES BARROQUIEL,LUCILENE KERCHES DE MENEZES BARROQUIEL,1513
WILSON SAMI SAAUMA IBRAHIM,WILSON SAMI SAAUMA IBRAHIM,7311
TEREZA CRISTINA CORREA DA COSTA DIAS,TEREZA CRISTINA CORREA DA COSTA DIAS,75149
CARLOS EDUARDO XAVIER MARUN,CARLOS EDUARDO XAVIER MARUN,91816
MARÇAL GONÇALVES LEITE FILHO,MARÇAL GONÇALVES LEITE FILHO,39851
MARIA AUXILIADORA MARTINS,MARIA AUXILIADORA MARTINS,257
ANTONIO LUIZ TEIXEIRA EMPKE JUNIOR,ANTONIO LUIZ TEIXEIRA EMPKE JUNIOR,7752
JOHNNY GUERRA GAI,JOHNNY GUERRA GAI,2258
MARIZA ANDRADE ROCHA,MARIZA ANDRADE ROCHA,4267
MARIA ELOIR RODRIGUES VILANTE,MARIA ELOIR RODRIGUES VILANTE,2670
CLAUDIO ALVES SERTÃO,CLAUDIO ALVES SERTÃO,5627
LUCIMAR FIGUEIREDO ROZA DENIS,LUCIMAR FIGUEIREDO ROZA DENIS,850
LUIZ ALBERTO OVANDO,LUIZ ALBERTO OVANDO,9475
VALMIR MESSIAS DE MOURA FÉ,VALMIR MESSIAS DE MOURA FÉ,1320
ANA PAULA BORTOLIERO DUTRA,ANA PAULA BORTOLIERO DUTRA,446
ANTONIO JOSÉ DE SOUZA LOBO,ANTONIO JOSÉ DE SOUZA LOBO,508
CLAUDIO ROBERTO SIQUEIRA LINS,CLAUDIO ROBERTO SIQUEIRA LINS,577
LEONISE PEREIRA DE ARAÚJO,LEONISE PEREIRA DE ARAÚJO,350
CARLOS ALBERTO ALFONSO DE MELO,CARLOS ALBERTO ALFONSO DE MELO,590
ROSÂNGELA ROSEMARI SILVA,ROSÂNGELA ROSEMARI SILVA,269
SANDRA CARRILHO DE OLIVEIRA,SANDRA CARRILHO DE OLIVEIRA,435
CELESTINO GONÇALVES DE OLIVEIRA,CELESTINO GONÇALVES DE OLIVEIRA,1467
ALDENOR DIAS CARDOSO,ALDENOR DIAS CARDOSO,712
ZANON LAMUNIER DA SILVA,ZANON LAMUNIER DA SILVA,462
ODAIR JOSÉ BORTOLOTI,ODAIR JOSÉ BORTOLOTI,2709
IARA COSTA,IARA COSTA,1518
SONIA MARINHO DE SOUZA SILVA,SONIA MARINHO DE SOUZA SILVA,100
ASTRO REZENDE,ASTRO REZENDE,392
SILVANI GOMES TORRES,SILVANI GOMES TORRES,97
KELLY CRISTINA DA SILVA,KELLY CRISTINA DA SILVA,729
LUIZ ANTONIO DA SILVA MARTINS,LUIZ ANTONIO DA SILVA MARTINS,400
WANDERLEY MACEDO LIMA,WANDERLEY MACEDO LIMA,969
EVALDO PAVÃO SENGER,EVALDO PAVÃO SENGER,3020
MARIA THEREZA BARBOSA DE SOUZA,MARIA THEREZA BARBOSA DE SOUZA,294
CARLOS EDUARDO LHOPI JARDIM,CARLOS EDUARDO LHOPI JARDIM,1437
CRISTIANO JOSÉ MARTINS DE FREITAS,CRISTIANO JOSÉ MARTINS DE FREITAS,921
RITVA CECILIA DE QUEIROZ GARCIA VIEIRA,RITVA CECILIA DE QUEIROZ GARCIA VIEIRA,1800
MARIA DAS DORES ROCHA,MARIA DAS DORES ROCHA,170
OSVALDELINO ESCOBAR,OSVALDELINO ESCOBAR,531
DERLY DOS REIS DE OLIVEIRA,DERLY DOS REIS DE OLIVEIRA,11939
KELLY CINARA AGUILHER NASCIMENTO,KELLY CINARA AGUILHER NASCIMENTO,1793
ANISIO GUILHERME DA FONSECA,ANISIO GUILHERME DA FONSECA,1434
LUCIANA DA TRINDADE,LUCIANA DA TRINDADE,84
SANDRO MARCELO FAUSTINO DE ALMEIDA,SANDRO MARCELO FAUSTINO DE ALMEIDA,359
VANDER LUIZ DOS SANTOS LOUBET,VANDER LUIZ DOS SANTOS LOUBET,69504
ANTONIO CARLOS BIFFI,ANTONIO CARLOS BIFFI,53405
YVES DROSGHIC,YVES DROSGHIC,3006
JOSÉ ORCÍRIO MIRANDA DOS SANTOS,JOSÉ ORCÍRIO MIRANDA DOS SANTOS,160555
CEZAR RENATO GAZOLLA,CEZAR RENATO GAZOLLA,7207
EDILSON MOREIRA DE ALENCAR,EDILSON MOREIRA DE ALENCAR,1869
NELSON DE MIRANDA OSÓRIO,NELSON DE MIRANDA OSÓRIO,1070
ELIZABETH CRISTINA ALTAFINI DE CAMPOS,ELIZABETH CRISTINA ALTAFINI DE CAMPOS,635
WALQUÍRIA MENEZES MORAES,WALQUÍRIA MENEZES MORAES,510
AMARILIS PEREIRA AMARAL SCUDELLARI,AMARILIS PEREIRA AMARAL SCUDELLARI,2033
DAGOBERTO NOGUEIRA FILHO,DAGOBERTO NOGUEIRA FILHO,54813
FABRÍCIO VENTUROLI LUNARDI,FABRÍCIO VENTUROLI LUNARDI,9529
ANASTÁCIO PERALTA,ANASTÁCIO PERALTA,2621
ODILON VASQUES DO PRADO,ODILON VASQUES DO PRADO,1634
MARIA FELIX DE CARVALHO,MARIA FELIX DE CARVALHO,1041
MARCELINO NUNES DE OLIVEIRA,MARCELINO NUNES DE OLIVEIRA,5307
ANTONIO FERREIRA DA CRUZ FILHO,ANTONIO FERREIRA DA CRUZ FILHO,34086
ALIR TERRA LIMA,ALIR TERRA LIMA,1947
MARIO CESAR FONSECA DA SILVA,MARIO CESAR FONSECA DA SILVA,2061
PAULO BORGES BEVILAQUA DA SILVA,PAULO BORGES BEVILAQUA DA SILVA,1490
SILVIO CÉSAR SOARES DOS SANTOS,SILVIO CÉSAR SOARES DOS SANTOS,100
RICARDO CHIMIRRI CANDIA,RICARDO CHIMIRRI CANDIA,3531
ARILDO SOARES DELGADILHO,ARILDO SOARES DELGADILHO,254
ISAIAS FERREIRA BITTENCOURT,ISAIAS FERREIRA BITTENCOURT,35054
ADILSON JORGE ROSSY DOS SANTOS,ADILSON JORGE ROSSY DOS SANTOS,2772
ANTÔNIO ARQUIMEDES BORGES DE OLIVEIRA,ANTÔNIO ARQUIMEDES BORGES DE OLIVEIRA,42079
CHARLES CARDOSO DE JESUS,CHARLES CARDOSO DE JESUS,3278
DEUSDEDIT BERNARDO DOS REIS,DEUSDEDIT BERNARDO DOS REIS,2053
EDNEIA SOUSA LIMA,EDNEIA SOUSA LIMA,418
ELISEU ANTONIO DE ASSIS,ELISEU ANTONIO DE ASSIS,2279
ERNANE RIBEIRO PITANGUI,ERNANE RIBEIRO PITANGUI,2438
EROS FERREIRA BIONDINI,EROS FERREIRA BIONDINI,179072
EUCLYDES MARCOS PETTERSEN NETO,EUCLYDES MARCOS PETTERSEN NETO,42525
EVANILDA GOMES DE PAIVA,EVANILDA GOMES DE PAIVA,507
GILBERTO BERNAL JUNIOR,GILBERTO BERNAL JUNIOR,14010
GILBERTO SILVA,GILBERTO SILVA,728
JANDER MUNIZ FILARETTI,JANDER MUNIZ FILARETTI,16820
JORCELINO CARDOSO SOARES,JORCELINO CARDOSO SOARES,387
JOSE CARLOS NETO,JOSE CARLOS NETO,1337
JOSÉ RICARDO SÍRIO,JOSÉ RICARDO SÍRIO,10052
JOÃO FRANCISCO SOUZA NETO,JOÃO FRANCISCO SOUZA NETO,12963
LEONE MACIEL FONSECA,LEONE MACIEL FONSECA,33559
LUCIANO PALMA PROCÓPIO BRETAS,LUCIANO PALMA PROCÓPIO BRETAS,8120
MARCO ANTÔNIO VILAS BOAS,MARCO ANTÔNIO VILAS BOAS,2403
MARIA DA PENHA DE JESUS,MARIA DA PENHA DE JESUS,174
MARIA DE LOURDES RIBEIRO,MARIA DE LOURDES RIBEIRO,97
MAURA MARIA DA SILVA FOUREAUX MACEDO,MAURA MARIA DA SILVA FOUREAUX MACEDO,1126
MAURO JORGE DE PAULA BOMFIM,MAURO JORGE DE PAULA BOMFIM,13964
MOABE SIDONIO DA SILVA,MOABE SIDONIO DA SILVA,288
MÁRCIO APARECIDO MARTINS DE SOUZA,MÁRCIO APARECIDO MARTINS DE SOUZA,1113
RENATO FABIANO MATHEUS,RENATO FABIANO MATHEUS,658
RICARDO ASSUNÇÃO,RICARDO ASSUNÇÃO,20144
VILSON ANTONIO DOS SANTOS,VILSON ANTONIO DOS SANTOS,9561
IZABELLA LOURENÇA AMORIM ROMUALDO,IZABELLA LOURENÇA AMORIM ROMUALDO,1223
JORDANO CARVALHO DOS SANTOS,JORDANO CARVALHO DOS SANTOS,2896
JOSIANE ASSIS DE BOUCHERVILLE,JOSIANE ASSIS DE BOUCHERVILLE,40
ANDRÉ NOGUEIRA DE ÁVILA,ANDRÉ NOGUEIRA DE ÁVILA,671
GUSTAVO OLÍMPIO SIQUEIRA ROCHA,GUSTAVO OLÍMPIO SIQUEIRA ROCHA,695
FELIPE DE FREITAS FONSECA,FELIPE DE FREITAS FONSECA,706
RAQUEL DE SOUZA PRADO,RAQUEL DE SOUZA PRADO,263
MATHEUS COSTA DE ALMEIDA,MATHEUS COSTA DE ALMEIDA,87
PAULO HENRIQUE GABRIEL,PAULO HENRIQUE GABRIEL,297
ANA LETÍCIA MEDEIROS GODOI SILVA,ANA LETÍCIA MEDEIROS GODOI SILVA,290
CARINE MARTINS VIEIRA,CARINE MARTINS VIEIRA,135
GILBERTO ADENIÊ CUNHA,GILBERTO ADENIÊ CUNHA,455
ROBERTO ANTÔNIO VERÔNICA,ROBERTO ANTÔNIO VERÔNICA,971
VALÉRIO VIEIRA DOS SANTOS,VALÉRIO VIEIRA DOS SANTOS,942
HUENDER FRANCO DIAS,HUENDER FRANCO DIAS,3886
DANIEL LAGES WARDIL,DANIEL LAGES WARDIL,172
JULIANA ROCHA MARQUES,JULIANA ROCHA MARQUES,23
STÊNIA ARAUJO JOURINK,STÊNIA ARAUJO JOURINK,75
MAX FREDSON DE SOUZA MOL,MAX FREDSON DE SOUZA MOL,76
ALVARO DE ARAUJO LOBO,ALVARO DE ARAUJO LOBO,4489
LOURIVAL DE SOUSA GONÇALVES,LOURIVAL DE SOUSA GONÇALVES,2648
ÂNGELO AMARO DA SILVA,ÂNGELO AMARO DA SILVA,437
JORGE TARCISIO TORQUATO,JORGE TARCISIO TORQUATO,0
MARIA DA CONSOLAÇÃO ROCHA,MARIA DA CONSOLAÇÃO ROCHA,18485
MAURILO DE CERQUEIRA MARINHO,MAURILO DE CERQUEIRA MARINHO,4066
OTAGILDO FERNANDES SIMOES,OTAGILDO FERNANDES SIMOES,1156
ÉRICO DE MORAES COLEN,ÉRICO DE MORAES COLEN,2101
ABDIAS BRAZ FERNANDES,ABDIAS BRAZ FERNANDES,2158
PEDRO CORREA ALVARENGA BARROS,PEDRO CORREA ALVARENGA BARROS,212
EDENILSON DURAES DE OLIVEIRA,EDENILSON DURAES DE OLIVEIRA,1233
RAILDA FERNANDEZ COSTA,RAILDA FERNANDEZ COSTA,56
REGINA MARIA CIOFFI BATAGINI,REGINA MARIA CIOFFI BATAGINI,11241
FABIO ANTÔNIO DA SILVA,FABIO ANTÔNIO DA SILVA,3989
STOESSEL LUIZ VINHAS RIBEIRO,STOESSEL LUIZ VINHAS RIBEIRO,2300
WANDERLEIA DE JESUS,WANDERLEIA DE JESUS,311
ARISTOTELES ALEXANDRE BATISTA FERREIRA,ARISTOTELES ALEXANDRE BATISTA FERREIRA,626
HUMBERTO GUIMARÃES SOUTO,HUMBERTO GUIMARÃES SOUTO,70923
ILDEIA OTONI RIBEIRO,ILDEIA OTONI RIBEIRO,345
LUZIA MARIA FERREIRA,LUZIA MARIA FERREIRA,54392
PAULO SERGIO DO VALLE NOGUEIRA,PAULO SERGIO DO VALLE NOGUEIRA,2627
PAULO RIBEIRO DA GLORIA,PAULO RIBEIRO DA GLORIA,396
ADRIANA ASSIS MARQUES,ADRIANA ASSIS MARQUES,681
ALEXANDRE GONÇALVES QUARESMA,ALEXANDRE GONÇALVES QUARESMA,930
ANTÔNIO CARLOS RIBEIRO LEITE,ANTÔNIO CARLOS RIBEIRO LEITE,155
DIVA FERNANDES DA SILVA,DIVA FERNANDES DA SILVA,684
FABIANA NUNES MACIEL,FABIANA NUNES MACIEL,186
FABIO AUGUSTO RAMALHO DOS SANTOS,FABIO AUGUSTO RAMALHO DOS SANTOS,83567
FERNANDO DE MORAES,FERNANDO DE MORAES,6522
FRANCISCO DA SILVA,FRANCISCO DA SILVA,539
IARA SOFIA ALVES ESTEVES,IARA SOFIA ALVES ESTEVES,0
JOSE MARTINS DO NASCIMENTO JUNIOR,JOSE MARTINS DO NASCIMENTO JUNIOR,2884
LILIAN PINHO DIAS,LILIAN PINHO DIAS,1330
LUIZ CARLOS DIAS BARBOSA,LUIZ CARLOS DIAS BARBOSA,757
MANOEL BISPO DOS SANTOS,MANOEL BISPO DOS SANTOS,833
MAURICIO VALLE SALLES,MAURICIO VALLE SALLES,567
RANDOLFO JOSÉ BARBOSA,RANDOLFO JOSÉ BARBOSA,576
RENATO GOMES,RENATO GOMES,9395
RÔMULO VICTOR PINHEIRO VENEROSO,RÔMULO VICTOR PINHEIRO VENEROSO,33373
VICENTE DOS REIS MARINHO,VICENTE DOS REIS MARINHO,531
ANDRESA SA DE OLIVEIRA,ANDRESA SA DE OLIVEIRA,151
ANTÔNIO JOSÉ DE SOUZA BRITO,ANTÔNIO JOSÉ DE SOUZA BRITO,158
ATILAS MEDEIROS LOPES,ATILAS MEDEIROS LOPES,4208
AUREA CANDIDA DOS SANTOS,AUREA CANDIDA DOS SANTOS,520
BRUNA CARLA DOS SANTOS,BRUNA CARLA DOS SANTOS,541
CARLOS DIAMANTINO ALKMIM,CARLOS DIAMANTINO ALKMIM,1439
DACI CLEIA ALVES DE OLIVEIRA,DACI CLEIA ALVES DE OLIVEIRA,109
EDNA DIAS SANTOS,EDNA DIAS SANTOS,4974
EDNA SARMENTO BARROS,EDNA SARMENTO BARROS,2314
ELISETE INÁCIO DOS SANTOS,ELISETE INÁCIO DOS SANTOS,638
EUSTAQUIO MARCONCINE BINI,EUSTAQUIO MARCONCINE BINI,949
GERALDO DE SOUZA GONCALVES,GERALDO DE SOUZA GONCALVES,1434
HERBERT AUGUSTO DA SILVA,HERBERT AUGUSTO DA SILVA,3995
JOSIAS DE AGUIAR RIBEIRO,JOSIAS DE AGUIAR RIBEIRO,4082
JUAREZ JOSÉ MUNIZ,JUAREZ JOSÉ MUNIZ,1925
KAREN GISELE DA SILVA,KAREN GISELE DA SILVA,110
LAERCIO LETRO RIBEIRO,LAERCIO LETRO RIBEIRO,2480
LUIZ GONZAGA RIBEIRO,LUIZ GONZAGA RIBEIRO,93997
MANOEL NERES DA SILVA FILHO,MANOEL NERES DA SILVA FILHO,409
MARIO LUCIO HERINGER,MARIO LUCIO HERINGER,90738
MATEUS NUNES,MATEUS NUNES,194
MAURO FERNANDES LOPES DE LIMA E SOUSA,MAURO FERNANDES LOPES DE LIMA E SOUSA,1206
MAURÍLIO BARBOSA DA SILVA,MAURÍLIO BARBOSA DA SILVA,9027
MOAMED RACHID GARIFF NOLETO DE QUEIROZ,MOAMED RACHID GARIFF NOLETO DE QUEIROZ,3392
NADIR GRACIANO BRANDÃO,NADIR GRACIANO BRANDÃO,381
NIVALDO LAGARES PINTO,NIVALDO LAGARES PINTO,5733
OVÍDIO DANIEL DE SOUZA,OVÍDIO DANIEL DE SOUZA,1861
RAFAEL RIBEIRO TEIXEIRA,RAFAEL RIBEIRO TEIXEIRA,1460
RICARDO SARAIVA DIAS,RICARDO SARAIVA DIAS,445
ROBÉSIO ZEFERINO ROCHA,ROBÉSIO ZEFERINO ROCHA,2579
SAMUEL ANGELO DOS SANTOS,SAMUEL ANGELO DOS SANTOS,347
SEBASTIAO DOMINGOS NETO,SEBASTIAO DOMINGOS NETO,1612
SILVIO CESAR CRUVINEL,SILVIO CESAR CRUVINEL,648
URBANO ABRÃO SIMÃO,URBANO ABRÃO SIMÃO,1021
WANDERLEI FERNANDES BATISTA,WANDERLEI FERNANDES BATISTA,1341
WILSON CALIXTO NOGUEIRA,WILSON CALIXTO NOGUEIRA,189
WELLINGTON ANTONIO VIEIRA,WELLINGTON ANTONIO VIEIRA,11491
EDSON MOREIRA DA SILVA,EDSON MOREIRA DA SILVA,49390
CLAUDIA FERNANDES DOS SANTOS,CLAUDIA FERNANDES DOS SANTOS,180
CIRLAINE MARIA LIBERATO DE AVELIZ,CIRLAINE MARIA LIBERATO DE AVELIZ,26
EVA MARCIELA MORAES,EVA MARCIELA MORAES,35
ALAIDE PIMENTA GOMES,ALAIDE PIMENTA GOMES,290
MARIA DE FATIMA COSTA,MARIA DE FATIMA COSTA,23
GIOVANI BATISTA GIMENES,GIOVANI BATISTA GIMENES,3506
NANCY GOULART,NANCY GOULART,14
VILMAR DE SOUZA E SILVA,VILMAR DE SOUZA E SILVA,4137
JOSE CARLOS FERREIRA,JOSE CARLOS FERREIRA,1057
JANIO RODRIGUES DOS SANTOS,JANIO RODRIGUES DOS SANTOS,210
ADICIO DIAS SOARES,ADICIO DIAS SOARES,38026
SILVIO CESAR CAMARGO DE OLIVEIRA,SILVIO CESAR CAMARGO DE OLIVEIRA,2053
PAULO HENRIQUE LOPES,PAULO HENRIQUE LOPES,297
ALICIO RIBEIRO ROCHA,ALICIO RIBEIRO ROCHA,1434
LUCIANO FARIAS DA SILVA,LUCIANO FARIAS DA SILVA,220
MARCIO TEIXEIRA NOBRE,MARCIO TEIXEIRA NOBRE,43026
ROSILENE DO CARMO CARDOSO,ROSILENE DO CARMO CARDOSO,10083
JOSÉ LÁZARO DOS REIS,JOSÉ LÁZARO DOS REIS,516
EDSON TOYOSHI CHIBA,EDSON TOYOSHI CHIBA,5786
JOSE ONOFRE DA SILVA,JOSE ONOFRE DA SILVA,975
CARLOS RENATO DIAS MUNIZ,CARLOS RENATO DIAS MUNIZ,12981
DOMINGOS SAVIO CAMPOS RESENDE,DOMINGOS SAVIO CAMPOS RESENDE,143901
BONIFÁCIO JOSÉ TAMM DE ANDRADA,BONIFÁCIO JOSÉ TAMM DE ANDRADA,83628
TEREZINHA GUNDIM BIAGI,TEREZINHA GUNDIM BIAGI,761
FÁBIO NOVAIS MAGALHÃES,FÁBIO NOVAIS MAGALHÃES,1305
JOSÉ MARCIANO TEIXEIRA,JOSÉ MARCIANO TEIXEIRA,4822
DALMO DE ASSIS PEREIRA,DALMO DE ASSIS PEREIRA,1451
WALKYRIA DE PAULA,WALKYRIA DE PAULA,1150
VICENTE DINAERTI CARVALHO,VICENTE DINAERTI CARVALHO,328
JOICE DOS SANTOS MANGABEIRA,JOICE DOS SANTOS MANGABEIRA,428
GIOVANE FARINAZZO GAVIO,GIOVANE FARINAZZO GAVIO,36007
RODRIGO BATISTA DE CASTRO,RODRIGO BATISTA DE CASTRO,292847
PAULO ABI-ACKEL,PAULO ABI-ACKEL,104848
DIMAS FABIANO TOLEDO JÚNIOR,DIMAS FABIANO TOLEDO JÚNIOR,129096
ELBE FIGUEIREDO BRANDÃO SANTIAGO,ELBE FIGUEIREDO BRANDÃO SANTIAGO,3883
ANTÔNIO PINHEIRO JÚNIOR,ANTÔNIO PINHEIRO JÚNIOR,148239
LUIZ FERNANDO RAMOS FARIA,LUIZ FERNANDO RAMOS FARIA,117542
ODELMO LEÃO CARNEIRO SOBRINHO,ODELMO LEÃO CARNEIRO SOBRINHO,179652
MARIA SOCORRO SANTOS SILVA,MARIA SOCORRO SANTOS SILVA,818
MARCOS MONTES CORDEIRO,MARCOS MONTES CORDEIRO,116175
WALTER DA ROCHA TOSTA,WALTER DA ROCHA TOSTA,77534
ADILSON DE OLIVEIRA,ADILSON DE OLIVEIRA,14060
AELTON JOSÉ DE FREITAS,AELTON JOSÉ DE FREITAS,91102
CELIA MARIA BENEVIDES CORDEIRO,CELIA MARIA BENEVIDES CORDEIRO,306
ESTER LEMOS CAMPOS BOTELHO,ESTER LEMOS CAMPOS BOTELHO,191
FABIANO COSTA DINIZ,FABIANO COSTA DINIZ,18663
GUSTAVO HENRIQUE PERRELLA AMARAL COSTA,GUSTAVO HENRIQUE PERRELLA AMARAL COSTA,56534
JOSÉ SILVA SOARES,JOSÉ SILVA SOARES,109925
LEDA LOURENÇO BRAGA,LEDA LOURENÇO BRAGA,183
LEONARDO ANDRE PEREIRA DE BARROS,LEONARDO ANDRE PEREIRA DE BARROS,599
